BLE1,BLE2,BLE3,BLE4,BLE5,PRED
-56.0,-58.0,-53.0,-65.0,-74.0,1.0
-57.0,-61.0,-54.0,-65.0,-74.0,1.0
-64.0,-60.0,-54.0,-66.0,-70.0,1.0
-64.0,-58.0,-53.0,-65.0,-70.0,1.0
-57.0,-58.0,-54.0,-67.0,-64.0,1.0
-56.0,-59.0,-54.0,-66.0,-70.0,1.0
-64.0,-60.0,-71.0,-62.0,-64.0,1.0
-64.0,-60.0,-54.0,-62.0,-64.0,1.0
-53.0,-58.0,-54.0,-66.0,-70.0,1.0
-57.0,-58.0,-73.0,-66.0,-70.0,1.0
-64.0,-61.0,-73.0,-62.0,-74.0,1.0
-64.0,-60.0,-54.0,-62.0,-74.0,1.0
-53.0,-60.0,-54.0,-66.0,-70.0,1.0
-53.0,-59.0,-74.0,-66.0,-70.0,1.0
-56.0,-61.0,-75.0,-67.0,-74.0,1.0
-57.0,-60.0,-56.0,-66.0,-64.0,1.0
-57.0,-59.0,-56.0,-67.0,-64.0,1.0
-63.0,-59.0,-76.0,-66.0,-74.0,1.0
-63.0,-61.0,-76.0,-62.0,-74.0,1.0
-57.0,-61.0,-54.0,-67.0,-64.0,1.0
-57.0,-59.0,-75.0,-66.0,-64.0,1.0
-64.0,-59.0,-75.0,-66.0,-70.0,1.0
-64.0,-58.0,-54.0,-66.0,-70.0,1.0
-53.0,-58.0,-54.0,-67.0,-64.0,1.0
-52.0,-59.0,-74.0,-66.0,-64.0,1.0
-64.0,-59.0,-74.0,-66.0,-70.0,1.0
-64.0,-59.0,-54.0,-62.0,-74.0,1.0
-57.0,-59.0,-54.0,-62.0,-73.0,1.0
-57.0,-60.0,-73.0,-65.0,-64.0,1.0
-64.0,-60.0,-74.0,-66.0,-64.0,1.0
-64.0,-59.0,-54.0,-67.0,-74.0,1.0
-57.0,-59.0,-54.0,-67.0,-74.0,1.0
-57.0,-60.0,-54.0,-66.0,-70.0,1.0
-52.0,-59.0,-54.0,-64.0,-70.0,1.0
-52.0,-58.0,-54.0,-65.0,-74.0,1.0
-63.0,-58.0,-72.0,-67.0,-74.0,1.0
-64.0,-61.0,-72.0,-66.0,-70.0,1.0
-52.0,-61.0,-52.0,-62.0,-70.0,1.0
-63.0,-59.0,-56.0,-67.0,-74.0,1.0
-64.0,-59.0,-54.0,-62.0,-74.0,1.0
-53.0,-61.0,-54.0,-67.0,-70.0,1.0
-52.0,-61.0,-56.0,-62.0,-70.0,1.0
-64.0,-58.0,-54.0,-66.0,-74.0,1.0
-64.0,-58.0,-54.0,-67.0,-74.0,1.0
-53.0,-60.0,-71.0,-62.0,-64.0,1.0
-52.0,-61.0,-71.0,-66.0,-64.0,1.0
-57.0,-60.0,-54.0,-66.0,-64.0,1.0
-57.0,-59.0,-56.0,-66.0,-64.0,1.0
-52.0,-60.0,-56.0,-65.0,-70.0,1.0
-52.0,-59.0,-71.0,-62.0,-70.0,1.0
-65.0,-59.0,-54.0,-62.0,-64.0,1.0
-64.0,-61.0,-56.0,-66.0,-64.0,1.0
-52.0,-61.0,-56.0,-62.0,-74.0,1.0
-52.0,-59.0,-54.0,-62.0,-74.0,1.0
-65.0,-60.0,-56.0,-65.0,-70.0,1.0
-64.0,-58.0,-54.0,-65.0,-70.0,1.0
-52.0,-58.0,-54.0,-65.0,-74.0,1.0
-52.0,-61.0,-71.0,-65.0,-74.0,1.0
-65.0,-61.0,-71.0,-62.0,-74.0,1.0
-64.0,-58.0,-56.0,-62.0,-74.0,1.0
-53.0,-58.0,-56.0,-65.0,-74.0,1.0
-52.0,-61.0,-72.0,-62.0,-74.0,1.0
-56.0,-61.0,-71.0,-62.0,-64.0,1.0
-57.0,-58.0,-56.0,-67.0,-64.0,1.0
-64.0,-58.0,-56.0,-67.0,-70.0,1.0
-57.0,-60.0,-56.0,-67.0,-70.0,1.0
-56.0,-59.0,-56.0,-65.0,-64.0,1.0
-57.0,-59.0,-54.0,-65.0,-70.0,1.0
-53.0,-59.0,-53.0,-62.0,-70.0,1.0
-52.0,-59.0,-56.0,-62.0,-74.0,1.0
-57.0,-59.0,-54.0,-66.0,-74.0,1.0
-57.0,-58.0,-54.0,-67.0,-64.0,1.0
-53.0,-58.0,-54.0,-62.0,-64.0,1.0
-52.0,-59.0,-56.0,-62.0,-70.0,1.0
-57.0,-59.0,-72.0,-67.0,-70.0,1.0
-57.0,-61.0,-72.0,-67.0,-64.0,1.0
-64.0,-61.0,-54.0,-65.0,-64.0,1.0
-64.0,-60.0,-53.0,-65.0,-74.0,1.0
-57.0,-59.0,-54.0,-67.0,-74.0,1.0
-57.0,-58.0,-54.0,-66.0,-64.0,1.0
-53.0,-58.0,-54.0,-62.0,-64.0,1.0
-52.0,-59.0,-54.0,-62.0,-70.0,1.0
-63.0,-59.0,-54.0,-66.0,-70.0,1.0
-64.0,-60.0,-55.0,-66.0,-64.0,1.0
-57.0,-59.0,-71.0,-62.0,-64.0,1.0
-57.0,-59.0,-54.0,-62.0,-73.0,1.0
-64.0,-61.0,-54.0,-65.0,-74.0,1.0
-64.0,-61.0,-55.0,-62.0,-70.0,1.0
-57.0,-60.0,-54.0,-62.0,-70.0,1.0
-57.0,-59.0,-54.0,-66.0,-74.0,1.0
-57.0,-61.0,-55.0,-65.0,-74.0,1.0
-57.0,-61.0,-54.0,-62.0,-64.0,1.0
-64.0,-59.0,-54.0,-62.0,-64.0,1.0
-53.0,-59.0,-72.0,-61.0,-70.0,1.0
-53.0,-59.0,-73.0,-61.0,-70.0,1.0
-64.0,-58.0,-54.0,-66.0,-64.0,1.0
-64.0,-58.0,-54.0,-66.0,-64.0,1.0
-53.0,-60.0,-74.0,-61.0,-71.0,1.0
-64.0,-61.0,-74.0,-66.0,-70.0,1.0
-64.0,-58.0,-54.0,-66.0,-73.0,1.0
-53.0,-58.0,-54.0,-62.0,-73.0,1.0
-63.0,-59.0,-56.0,-62.0,-70.0,1.0
-64.0,-59.0,-54.0,-66.0,-70.0,1.0
-53.0,-58.0,-73.0,-66.0,-64.0,1.0
-53.0,-58.0,-54.0,-61.0,-64.0,1.0
-64.0,-61.0,-54.0,-65.0,-70.0,1.0
-64.0,-60.0,-73.0,-66.0,-70.0,1.0
-53.0,-59.0,-73.0,-61.0,-64.0,1.0
-53.0,-59.0,-54.0,-61.0,-64.0,1.0
-64.0,-61.0,-55.0,-66.0,-73.0,1.0
-53.0,-61.0,-54.0,-61.0,-74.0,1.0
-53.0,-59.0,-74.0,-61.0,-64.0,1.0
-57.0,-59.0,-73.0,-66.0,-64.0,1.0
-56.0,-61.0,-56.0,-66.0,-73.0,1.0
-64.0,-61.0,-56.0,-61.0,-73.0,1.0
-52.0,-59.0,-74.0,-61.0,-71.0,1.0
-64.0,-59.0,-73.0,-66.0,-70.0,1.0
-64.0,-58.0,-54.0,-66.0,-73.0,1.0
-52.0,-58.0,-54.0,-61.0,-73.0,1.0
-52.0,-59.0,-74.0,-61.0,-73.0,1.0
-56.0,-59.0,-74.0,-65.0,-73.0,1.0
-57.0,-58.0,-54.0,-61.0,-71.0,1.0
-63.0,-60.0,-56.0,-61.0,-70.0,1.0
-64.0,-61.0,-74.0,-67.0,-74.0,1.0
-52.0,-58.0,-74.0,-66.0,-74.0,1.0
-52.0,-61.0,-54.0,-65.0,-71.0,1.0
-64.0,-61.0,-54.0,-65.0,-70.0,1.0
-64.0,-58.0,-73.0,-61.0,-74.0,1.0
-57.0,-58.0,-74.0,-61.0,-74.0,1.0
-57.0,-61.0,-54.0,-63.0,-64.0,1.0
-64.0,-61.0,-54.0,-65.0,-64.0,1.0
-64.0,-59.0,-54.0,-62.0,-74.0,1.0
-52.0,-59.0,-56.0,-61.0,-74.0,1.0
-64.0,-61.0,-74.0,-65.0,-64.0,1.0
-55.0,-61.0,-54.0,-65.0,-64.0,1.0
-56.0,-58.0,-75.0,-62.0,-70.0,1.0
-53.0,-58.0,-54.0,-61.0,-70.0,1.0
-53.0,-60.0,-54.0,-65.0,-74.0,1.0
-65.0,-59.0,-75.0,-65.0,-74.0,1.0
-65.0,-61.0,-74.0,-67.0,-71.0,1.0
-53.0,-61.0,-54.0,-67.0,-70.0,1.0
-64.0,-60.0,-54.0,-65.0,-74.0,1.0
-65.0,-59.0,-73.0,-65.0,-74.0,1.0
-53.0,-60.0,-73.0,-62.0,-74.0,1.0
-53.0,-61.0,-54.0,-62.0,-74.0,1.0
-57.0,-58.0,-54.0,-64.0,-64.0,1.0
-55.0,-58.0,-71.0,-62.0,-64.0,1.0
-57.0,-60.0,-71.0,-63.0,-74.0,1.0
-57.0,-61.0,-54.0,-63.0,-74.0,1.0
-53.0,-58.0,-54.0,-63.0,-70.0,1.0
-52.0,-58.0,-71.0,-62.0,-70.0,1.0
-64.0,-60.0,-70.0,-62.0,-74.0,1.0
-64.0,-60.0,-54.0,-66.0,-74.0,1.0
-53.0,-60.0,-54.0,-67.0,-64.0,1.0
-52.0,-59.0,-69.0,-62.0,-70.0,1.0
-64.0,-59.0,-54.0,-62.0,-70.0,1.0
